mol,id,top,target,predicted,prob,result,inputdata
0,0,0,CC(C)(C)OC(=O)OC(=O)OC(C)(C)C.NCCc1ccc(N)cc1F,CC(C)(C)OC(=O)NCCc1ccc([N+](=O)[O-])cc1F,99,0,,,
1,100,0,C1=COCCC1.COC(=O)CCC(=O)c1ccc(O)cc1O,C1=COCCC1.COC(=O)CCC(=O)c1ccc(O)cc1O,71,1,,,
2,200,0,Nc1cccnc1N.COC(=O)c1cccc(C(=O)O)c1,Nc1cccnc1N.COC(=O)c1cccc(C(=O)O)c1,99,1,,,
3,300,0,CC(C)(C)OC(=O)NC1CCC(C(=O)O)CC1.CNOC,CC(C)(C)OC(=O)NC1CCC(C(=O)O)CC1.CNOC,99,1,,,
4,400,0,Nc1ccc(O)cc1.O=[N+]([O-])c1ccc(Cl)nc1Cl,Nc1ccc(O)cc1.O=[N+]([O-])c1ccc(Cl)nc1Cl,99,1,,,
5,500,0,[N-]=[N+]=NCC1=CC[C@@H](c2ccc(Cl)cc2Cl)[C@H]([N+](=O)[O-])C1,[N-]=[N+]=NCC1=CC[C@@H](c2ccc(Cl)cc2Cl)[C@H]([N+](=O)[O-])C1,87,1,,,
6,600,0,CCc1oc(-c2ccc(C(F)(F)F)cc2)nc1COC[C@@H]1CCC[C@H](COC(C)(C)C(=O)OC(C)(C)C)C1,CCOC(=O)C(C)(C)OC[C@H]1CCC[C@H](COCc2nc(-c3ccc(C(F)(F)F)cc3)oc2CC)C1,74,0,,,
7,700,0,Cc1noc(C)c1N=C=O.Nc1ccc2nc(N[C@@H]3CCc4ccccc43)ccc2c1,Nc1ccc2nc(N[C@H]3CCc4ccccc43)ccc2c1.Cc1noc(C)c1N=C=O,71,0,,,
8,800,0,COC(=O)c1ccc(N2CCCS2(=O)=O)nc1C.Cc1cnc(N2CCNCC2)c(C)c1,Cc1nc(N2CCCS2(=O)=O)ccc1C(=O)O.Cc1cnc(N2CCNCC2)c(C)c1,85,0,,,
9,900,0,COc1cc(OC)cc(C(C)(C)CCCCC#C[Si](C)(C)C)c1,C#CCCCCC(C)(C)c1cc(OC)cc(OC)c1,88,0,,,
10,1000,0,CCOC(=O)c1c[nH]c2c(C)c(C=O)sc2c1=O.CI,CCOC(=O)c1cn(C)c2c(C)csc2c1=O.CN(C)C=O,98,0,,,
11,1100,0,CC(C)n1cnnc1-c1nc2c(s1)CCOc1cc(C=O)ccc1-2.NCCO,CC(C)n1cnnc1-c1nc2c(s1)CCOc1cc(C=O)ccc1-2.NCCO,99,1,,,
12,1200,0,CC(=O)CC1CCCC1=O.CCOC(=O)CN,Cc1cc2c([nH]1)CCC2.CCOC(=O)CBr,99,0,,,
13,1300,0,Cc1cc(Nc2cc(C(F)(F)F)ccn2)nc(-c2cnc(C(C)(O)C3CCN(C(=O)OC(C)(C)C)C3)s2)c1,Cc1cc(Nc2cc(C(F)(F)F)ccn2)nc(-c2cnc(C(C)(O)C3CCN(C(=O)OC(C)(C)C)C3)s2)c1,99,1,,,
14,1400,0,CC(C)(C)OC(=O)N1CCN(C(=O)c2cc(CO)ccc2F)CC1.CS(=O)(=O)Cl,CC(C)(C)OC(=O)N1CCN(C(=O)c2cc(CO)ccc2F)CC1.CS(=O)(=O)Cl,99,1,,,
15,1500,0,CCCC(=O)c1cnc2c(C)cccc2c1Cl.COc1ccccc1N,CCCC(=O)c1cnc2c(C)cccc2c1Cl.COc1ccccc1N,99,1,,,
16,1600,0,COc1ccc(CN2CCc3nc(Cl)cc4c3c2nn4C(c2ccccc2)(c2ccccc2)c2ccccc2)cc1.C[C@@H](NC(N)=O)c1ccccc1,COc1ccc(C=O)cc1.C[C@H](NC(=O)Nc1cc2c3c(n1)CCNc3nn2C(c1ccccc1)(c1ccccc1)c1ccccc1)c1ccccc1,60,0,,,
17,1700,0,Br.C=CCCC(=O)C(C)(C)N1COC(C)=C(c2ccccc2)C1=O,CC(Br)CCC(=O)C(C)(C)Br.CC1=C(c2ccccc2)C(=O)NCO1,81,0,,,
18,1800,0,CSc1cc(-n2nc(C)cc2N)ncn1.Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1Br,CSc1cc(-n2nc(C)cc2Nc2cc(N)ccc2C)ncn1.O=C(Cl)c1cccc(C(F)(F)F)c1,99,0,,,
19,1900,0,Nc1nccc(Cl)c1I.Oc1cc(F)ccc1F,Nc1nccc(Cl)c1I.Oc1cc(F)ccc1F,99,1,,,
20,2000,0,N#CCC(=O)c1ccccc1,N#CCC(=O)c1ccccc1,99,1,,,
21,2100,0,CC(C)OC(=O)c1cccnc1N1CCNCC1.CCN(Cc1ccc(C=O)cn1)Cc1c(F)cccc1Cl,CC(C)OC(=O)c1cccnc1N1CCN(Cc2ccc(C=O)nc2)CC1.CCNCc1c(F)cccc1Cl,52,0,,,
22,2200,0,COCCOCOc1c(C/C=C(\C)CCC(=O)OC)c(OC)c(C)c2c1C(=O)OC2,CCOC(=O)CCC(C)=CCc1c(OC)c(C)c2c(c1OCOCCOC)C(=O)OC2,94,0,,,
23,2300,0,COC(=O)c1c(Cn2c(C)nc(Cl)c2Cl)sc2c1c(=O)n(C)c(=O)n2CC(C)C,CCOC(=O)c1c(Cn2c(C)nc(Cl)c2Cl)sc2c1c(=O)n(C)c(=O)n2CC(C)C,83,0,,,
24,2400,0,COc1ccc2cc(-c3cnc(-c4ccccc4)o3)ccc2c1,COc1ccc2cc(-c3cnc(-c4ccccc4)o3)ccc2c1,99,1,,,
25,2500,0,CC(C)(C)C(=O)Cl.Cc1ccccc1-c1ccc2nc(N)ccc2c1,CC(C)(C)C(=O)Nc1ccc2cc(Br)ccc2n1.Cc1ccccc1B(O)O,97,0,,,
26,2600,0,COC(=O)CC1Nc2ccc(C(=O)NCc3ncc[nH]3)cc2CN(CCc2ccccc2)C1=O,CCOC(=O)CC1Nc2ccc(C(=O)NCc3ncc[nH]3)cc2CN(CCc2ccccc2)C1=O,86,0,,,
27,2700,0,CCc1cc(C(C)=O)c(O)cc1OCc1cccc(C(=O)OC)n1,CCc1cc(C(C)=O)c(O)cc1OCc1cccc(C(=O)OC)n1,99,1,,,
28,2800,0,CCOC(=O)CBr.Nc1ccc2c(c1)OCO2,CCOC(=O)CBr.Nc1ccc2c(c1)OCO2,99,1,,,
29,2900,0,CC(C)(C)OC(=O)COC1CCN(C(=O)OC(C)(C)C)CC1,CCOC(=O)COC1CCN(C(=O)OC(C)(C)C)CC1,99,0,,,
30,3000,0,CCCC[Sn](CCCC)(CCCC)c1cccc(CO)c1.O=C(OCc1ccccc1)N1CCC[C@@H]1Cc1c[nH]c2ccc(Br)cc12,OCc1cccc(B(O)O)c1.O=C(OCc1ccccc1)N1CCC[C@@H]1Cc1c[nH]c2ccc(Br)cc12,65,0,,,
31,3100,0,Cc1cc(Cl)c(NC(=O)CBr)c(Cl)n1.OCCN1CCNCC1,Cc1cc(Cl)c(NC(=O)CBr)c(Cl)n1.OCCN1CCNCC1,57,1,,,
32,3200,0,COc1cc(C(=O)O)ccc1Nc1ncc2c(n1)N(C1CCCCC1)CC(F)(F)C(=O)N2C.CS(=O)(=O)N1CCC(N)CC1,COc1cc(C(=O)O)ccc1Nc1ncc2c(n1)N(C1CCCCC1)CC(F)(F)C(=O)N2C.CS(=O)(=O)N1CCC(N)CC1,95,1,,,
33,3300,0,Nc1ccccc1I.O=C(O)Cc1ccc(Cl)c(Cl)c1,O=C(Cl)Cc1ccc(Cl)c(Cl)c1.Nc1ccccc1I,99,0,,,
34,3400,0,CC(=O)Oc1cnn(-c2ccc(Br)cc2)n1,COc1cnn(-c2ccc(Br)cc2)n1,96,0,,,
35,3500,0,C=CCBr.OC1(c2cccc3[nH]ccc23)CCCNC1,C=CCBr.OC1(c2cccc3[nH]ccc23)CCCNC1,96,1,,,
36,3600,0,O=[N+]([O-])c1ccc(F)c([N+](=O)[O-])c1,O=[N+]([O-])c1ccc(F)c([N+](=O)[O-])c1,98,1,,,
37,3700,0,CCc1noc(CC)c1CBr.Cc1cc(O)nc(S)n1,CCc1noc(CC)c1CSc1nc(C)cc(OC)n1,77,0,,,
38,3800,0,CC(C)(C)OC(=O)Nc1cc(N2CCOCC2)c(C(F)(F)F)cc1N.CN(C)Cc1cnnn1-c1cccc(C(=O)CC(=O)OC(C)(C)C)c1,CC(C)(C)OC(=O)Nc1cc(N2CCOCC2)c(C(F)(F)F)cc1N.CN(C)Cc1cnnn1-c1cccc(C(=O)CC(=O)OC(C)(C)C)c1,97,1,,,
39,3900,0,C1COCCN1.O=c1c(F)c(Cl)nc2n1CC[C@@H](C(F)(F)F)N2,C1COCCN1.O=c1c(F)c(Cl)nc2n1CC[C@@H](C(F)(F)F)N2,92,1,,,
40,4000,0,CNC(=O)c1ccc2c(c1)CC(=O)N2C1CCNCC1.O=C(CCl)N1C[C@H]2CCC[C@H]2C1,CN.O=C(O)c1ccc2c(c1)CC(=O)N2C1CCN(CC(=O)N2C[C@H]3CCC[C@H]3C2)CC1,79,0,,,
